Season,Latitude,DELTA_crossing,area_albedo_cloud,area_albedo_cloud_check,area_albedo,Carbon_eq,Carbon_eq_cloud
2,12,3.1260667538084785,-3216393.0088025946,-3218436.7563553676,877408.948165225,-0.011502176988642534,-0.011502176988642534
2,13,2.873430454819921,-2801915.5604324983,-2807962.9773758855,877523.0833643663,-0.010087974899875009,-0.010087974899875009
2,14,2.5840321477452477,-2406144.013146288,-2408770.7988643944,877959.2202592007,-0.008673772811107485,-0.008673772811107485
2,15,2.048277522306197,-1829142.3629438926,-1831455.7254979014,878717.0449007734,-0.006599609747581781,-0.006599609747581781
2,16,0.8873235367639403,522080.16445148026,-507795.7982153874,879796.2106296571,0.001885602785023366,0.001885602785023366
2,17,-0.011916993028151524,592142.7576236296,608094.7366215717,881196.3337192076,0.002074163063525703,0.002074163063525703
2,18,-0.7600923505827311,575486.4891423711,1659654.9970991947,882916.9881221445,0.002074163063525703,0.002074163063525703
2,19,-1.0900808680759884,2176078.4823523136,2182470.889067732,884957.6992798208,0.007730971418595801,0.007730971418595801
2,20,-0.8133701440801762,611949.2060312644,1819512.8734169267,887317.9369465746,0.0022627233420280395,0.0022627233420280395
2,21,-1.2354643622944206,2411644.624173838,2421049.4574756064,889997.1069735184,0.008673772811107485,0.008673772811107485
2,22,-1.7639061351187841,3172050.7073539025,3176116.1194634177,892994.5419879446,0.011313616710140197,0.011313616710140197
2,23,-1.9351028417302647,3394795.5943901357,3405734.5151228737,896309.4908952252,0.01225641810265188,0.01225641810265188
2,24,-1.9423144393337353,3382821.3604341196,3392577.174054483,899941.107120296,0.012067857824149543,0.012067857824149543
2,25,-1.8518255499021006,3261760.9031966343,3271439.1273390464,903888.4354948874,0.01169073726714487,0.01169073726714487
2,26,-1.3567747901121159,2584712.39299016,2595402.0639552977,908150.3976846193,0.009239453646614494,0.009239453646614494
2,27,-1.1346767405570244,2288510.9143590266,2299414.445159739,912725.7760370161,0.008296652254102812,0.008296652254102812
2,28,-0.6299731312048298,661352.1770972592,1590009.6797212064,917613.1957166061,0.002451283620530376,0.002451283620530376
2,29,-0.2889989436668099,676955.0031708516,1103171.4633476548,922811.1049771317,0.002451283620530376,0.002451283620530376
2,30,0.11408644587029926,680202.7991983877,526117.2120365873,928317.753402511,0.002451283620530376,0.002451283620530376
2,31,0.6001935594817578,642913.1506602481,-159377.78049748763,934131.1679278939,0.0022627233420280395,0.0022627233420280395
2,32,0.7765663112743866,617671.2657358183,-393088.80289896764,940249.1264291136,0.0022627233420280395,0.0022627233420280395
2,33,1.0968463478669204,-753584.6481289914,-761097.2629194222,946669.1286430793,-0.002734124038283881,-0.002734124038283881
2,34,1.6262587498109102,-1229563.0604654592,-1232175.7418215945,953388.3641525139,-0.004431166544804911,-0.004431166544804911
2,35,1.2222199162858676,-657698.28223458,-668210.0001826901,960403.677135298,-0.0023570034812792078,-0.0023570034812792078
2,36,0.7629935961772496,534284.8229145895,-182386.15387285128,967711.5275414634,0.001885602785023366,0.001885602785023366
2,37,0.7059900685760905,551580.4501513027,-141211.40259567648,975307.9483179814,0.001885602785023366,0.001885602785023366
2,38,0.39743354273102405,574684.655288161,189793.87526439503,983188.4982531309,0.002074163063525703,0.002074163063525703
2,39,0.2436454414407585,587114.868890986,354983.241854487,991348.2099564661,0.002074163063525703,0.002074163063525703
2,40,0.18312800489229986,596119.4128020159,421563.58937945403,999781.5324267979,0.002074163063525703,0.002074163063525703
2,41,0.2500793568644184,598196.836458381,359457.7994564008,1008482.2675873109,0.002074163063525703,0.002074163063525703
2,42,0.3291770798689928,595577.785056971,284685.6576464623,1016797.0843366674,0.002074163063525703,0.002074163063525703
2,43,0.4350057697205525,590220.16178095,185093.799686376,1025366.7400371373,0.002074163063525703,0.002074163063525703
2,44,0.5856329047461095,581237.1683374839,47454.63628001325,1034822.4614785904,0.002074163063525703,0.002074163063525703
2,45,0.6525175821282794,575644.3235274928,-705.2742086667567,1043872.8246879536,0.002074163063525703,0.002074163063525703
2,46,0.6240152352452544,575542.706584995,37886.68234806508,1053150.7638196829,0.002074163063525703,0.002074163063525703
2,47,0.5730716267870424,579886.3775044165,106586.10888062604,1063276.515389245,0.002074163063525703,0.002074163063525703
2,48,0.47136789733544227,590100.2383226262,207898.01946669817,1072969.8349421981,0.002074163063525703,0.002074163063525703
2,49,0.17729009890151026,621131.1128930944,477974.2766973898,1082852.6927932957,0.0022627233420280395,0.0022627233420280395
2,50,0.022320368247122246,641658.5920827086,623530.6618007161,1093531.041355484,0.0022627233420280395,0.0022627233420280395
2,51,-0.14773334276248384,639400.7010150561,783668.5673345104,1103738.6902277302,0.0022627233420280395,0.0022627233420280395
2,52,-0.16487383886699725,645902.364655817,808408.2685710024,1114698.6980601514,0.0022627233420280395,0.0022627233420280395
2,53,-0.11997516901175054,656009.1660195587,774602.0152064953,1125151.9802537842,0.0022627233420280395,0.0022627233420280395
2,54,-0.06567714166016536,666142.8532038849,730655.8413027227,1136304.5437747075,0.002451283620530376,0.002451283620530376
2,55,0.11237113124524711,667948.1162167755,576616.787236087,1146905.1563038672,0.002451283620530376,0.002451283620530376
2,56,0.3496460017857803,651684.4175997492,374396.3601932693,1158139.7357078057,0.0022627233420280395,0.0022627233420280395
2,57,0.5848756751446622,631610.2581880274,180704.2041195631,1168765.4283494267,0.0022627233420280395,0.0022627233420280395
2,58,0.9257841863033409,604882.9267539481,-84506.41605210677,1179944.5899083363,0.0022627233420280395,0.0022627233420280395
2,59,1.2568248917372262,-315602.6918908056,-331270.9006875139,1190442.964702634,-0.0011313616710140197,-0.0011313616710140197
2,60,1.6191046916630274,-579779.2901756002,-587890.7475203276,1201395.295391198,-0.002074163063525703,-0.002074163063525703
2,61,1.9299481862342516,-792842.1245959203,-797143.2484478429,1210460.3834340787,-0.0028284041775350492,-0.0028284041775350492
2,62,2.205034802488613,-1001043.7457780731,-1026418.8103450108,1219867.8100655153,-0.0035826452915443956,-0.0035826452915443956
2,63,2.321735234562235,-1100079.0211405656,-1127149.513143545,1228969.6043152953,-0.003959765848549069,-0.003959765848549069
2,64,2.5032699595900283,-1326006.8208209549,-1332640.7334673926,1237126.968888809,-0.0047140069625584155,-0.0047140069625584155
2,65,2.7159954725593423,-1625689.4253677018,-1633738.7801754586,1245390.1884324043,-0.005845368633572435,-0.005845368633572435
3,0,0.9082985574486582,492565.1061573135,-276458.0579192266,939076.3314535096,0.0016970425065210295,0.0016970425065210295
3,1,0.8037625496145022,491158.65650486783,-172203.95623632707,930068.8919005592,0.0016970425065210295,0.0016970425065210295
3,2,0.7145642489255515,490517.4336140414,-90858.8575436119,921393.5011908491,0.0016970425065210295,0.0016970425065210295
3,3,0.6289630488700002,490615.7069648172,-18049.32716186717,913050.8088187745,0.0016970425065210295,0.0016970425065210295
3,4,0.5523672374370268,490650.42417724594,46040.68139721826,905041.3004968885,0.0016970425065210295,0.0016970425065210295
3,5,0.4859775495637777,490180.4602257358,100401.83119850606,897365.3170618664,0.0016970425065210295,0.0016970425065210295
3,6,0.42780301641710494,489130.3862243099,147384.70510899276,890023.0717389027,0.0016970425065210295,0.0016970425065210295
3,7,0.3854607326624162,487246.64618048357,185283.5306733288,883014.665888701,0.0016970425065210295,0.0016970425065210295
3,8,0.3496615971041317,475288.24835638097,215976.19877212122,876340.1033490231,0.0016970425065210295,0.0016970425065210295
3,9,0.4747160237939081,460146.498480112,119476.33851748332,869999.3034713997,0.0016970425065210295,0.0016970425065210295
3,10,0.5064871724728404,450834.73637044546,105676.4965605326,863992.112943305,0.0016970425065210295,0.0016970425065210295
3,11,0.3728933378949062,453123.3655332545,213009.46347479708,858318.3164769409,0.0016970425065210295,0.0016970425065210295
3,12,0.3571882766897705,448095.09403615433,229421.2375022117,852977.6464368494,0.0016970425065210295,0.0016970425065210295
3,13,0.4376195032971122,426469.68797390076,168206.92022515833,847969.7914710206,0.001508482228018693,0.001508482228018693
3,14,0.5131069005749369,420131.60361352935,121736.55076975189,843294.4042025687,0.001508482228018693,0.001508482228018693
3,15,0.6849784239919403,409872.5391652319,12218.950021926314,838951.1080323878,0.001508482228018693,0.001508482228018693
3,16,0.5525127597929957,415995.66482990835,71382.20503181405,834939.5030968915,0.001508482228018693,0.001508482228018693
3,17,0.41588614262533863,437946.3025609238,154850.9830014743,831259.1714188656,0.001508482228018693,0.001508482228018693
3,18,0.2359548735463033,459981.6602168972,281524.71767562255,827909.6812839912,0.0016970425065210295,0.0016970425065210295
3,19,0.17790763458679493,469261.4756638862,325256.9324518386,824890.5908700818,0.0016970425065210295,0.0016970425065210295
3,20,0.3095688835654382,463835.560996089,199788.09688103572,822201.4511511829,0.0016970425065210295,0.0016970425065210295
3,21,0.331753366074409,462417.51001232245,175032.02426824905,819841.8080935042,0.0016970425065210295,0.0016970425065210295
3,22,0.2603049518849083,474003.7276763779,238880.22911191732,817811.2041555045,0.0016970425065210295,0.0016970425065210295
3,23,0.34100011786829576,484916.4936505103,135423.84748297557,816109.1790997593,0.0016970425065210295,0.0016970425065210295
3,24,0.2131256859730506,507841.77851422655,270006.5444075018,814735.2701193916,0.001885602785023366,0.001885602785023366
3,25,0.08360211359533842,525587.3325510143,427516.3096337784,813689.0112773938,0.001885602785023366,0.001885602785023366
3,26,0.0014652114137696515,536976.8319784352,535192.1040364504,812969.9322523709,0.001885602785023366,0.001885602785023366
